DATAFLOW,LAST UPDATE,freq,sex,wstatus,citizen,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_01(1.0),14/09/23 23:00:00,A,F,POP,TOTAL,Y18-24,PC,IT,2022,9.1,
ESTAT:EDAT_LFSE_01(1.0),14/09/23 23:00:00,A,M,POP,TOTAL,Y18-24,PC,IT,2022,13.6,
