SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;voto_scritto_eng;voto_orale_eng;codice_orario;Cod_Reg;Areageo_5;WLE_ELI_200;LIVELLI_WLE_ELI;peso_studente;peso_classe;peso_scuola;ESCS_studente
510;29;33;1;13;2;1;4;1;1;1;1;1;6;8;12;7;5;6;3;2;1;213,586567794407;2;19,0530303030303;1,06060606060606;17,9642857142857;,291127839821909
510;29;34;1;13;2;3;4;1;1;1;1;1;7;6;12;5;4;5;3;2;1;211,127966325574;2;19,0530303030303;1,06060606060606;17,9642857142857;-,127903817561759
510;28;35;1;13;2;5;4;1;1;1;1;2;7;7;12;6;7;8;3;2;1;227,344988142308;3;19,0530303030303;1,06060606060606;17,9642857142857;,132579786269439
510;28;36;1;13;2;4;4;1;1;1;1;1;6;7;12;5;7;9;3;2;1;246,949704298675;3;19,0530303030303;1,06060606060606;17,9642857142857; 
510;28;37;1;13;2;1;4;1;1;1;1;1;8;8;12;5;10;9;3;2;1;255,007865356792;3;19,0530303030303;1,06060606060606;17,9642857142857;,691288662780997
510;28;38;1;13;2;11;4;3;1;2;3;3;6;7;12;6;6;8;3;2;1;189,752267763987;2;19,0530303030303;1,06060606060606;17,9642857142857;,15145062069402
510;28;39;1;13;2;1;4;1;1;1;1;1;8;8;12;6;8;8;3;2;1;180,740571843313;2;19,0530303030303;1,06060606060606;17,9642857142857;1,16293342397136
510;28;40;1;13;2;2;4;1;1;1;1;3;8;8;12;6;8;8;3;2;1;235,285371403603;3;19,0530303030303;1,06060606060606;17,9642857142857;-,105408971307013
510;28;41;1;13;2;7;4;1;1;1;1;1;8;10;12;7;10;9;3;2;1;255,007865356792;3;19,0530303030303;1,06060606060606;17,9642857142857;-,116656394434386
510;28;42;1;13;2;3;4;1;1;1;1;1;6;6;12;3;6;8;3;2;1;262,407676045732;3;19,0530303030303;1,06060606060606;17,9642857142857; 
510;28;43;1;13;2;7;4;1;1;1;1;1;7;8;12;7;8;9;3;2;1;216,346836699717;3;19,0530303030303;1,06060606060606;17,9642857142857;,755149189715068
510;28;44;1;13;2;3;4;1;1;1;1;1;7;8;12;6;9;9;3;2;1;175,058388615196;2;19,0530303030303;1,06060606060606;17,9642857142857;,0666176999531053
510;28;45;1;13;2;1;4;1;1;1;1;1;5;6;12;6;5;6;3;2;1;183,550668935267;2;19,0530303030303;1,06060606060606;17,9642857142857; 
510;28;46;1;13;1;4;4;1;1;1;1;1;6;7;12;6;9;9;3;2;1;265,312241055212;3;19,0530303030303;1,06060606060606;17,9642857142857;,531973809279453
1054;31;47;1;13;1;9;4;1;1;1;1;1;12;7;12;6;12;7;3;2;1;177,024890223733;2;23,8790849673203;1,3921568627451;17,1525821596244;,965463356329889
1054;31;48;1;13;2;7;4;1;1;1;1;1;12;8;12;6;12;6;3;2;1;187,933222537947;2;23,8790849673203;1,3921568627451;17,1525821596244;,173945466948765
