DATAFLOW,LAST UPDATE,freq,sex,wstatus,citizen,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_01(1.0),14/09/23 23:00:00,A,T,POP,EU27_2020_FOR,Y18-24,PC,IT,2022,23.1,
ESTAT:EDAT_LFSE_01(1.0),14/09/23 23:00:00,A,T,POP,FOR,Y18-24,PC,IT,2022,30.1,
ESTAT:EDAT_LFSE_01(1.0),14/09/23 23:00:00,A,T,POP,NAT,Y18-24,PC,IT,2022,9.8,
ESTAT:EDAT_LFSE_01(1.0),14/09/23 23:00:00,A,T,POP,NEU27_2020_FOR,Y18-24,PC,IT,2022,32.3,
